
S1,1,E5,D5,E5,G5,H5,I6,I7,I8,I7,I6,I4,H5,G5,G5,G7,G8,G9,G9,F9,E9,E8,D9,C8,C9,B9,C8,A9,A8,A8,B9,C9,C8,C7,C6,C5,C6,C4,C3,B3,A3,A2,A3,A5,A6,B5,A6,A7,A8,A9,A8,B9,C9,D9,E9,F9,G9,H9,I9,I8,I7,I6,I5,I4,I5,I3,I2,I1,H1,G1,F1,E1,E1,E2,E1,D1,E2,E2,F1,G1,G2,F1,H1,G1,F1,D1,C1,C2,C3,B3,C3,D3,E3,F3,E3,F3,G3,G4,G6,G5,G7,F7,E7,D7,E7,D7,E6,E7,E7,E8,E9,F9,G9,H9,I9,I8,I7,H7,I6,I5,I4,I3,I2,I1,H1,G1,F1,E1,D1,E2,C1,B1,A1,A2,A3,A4,A5,A6,
S1,2,E5,D5,C5,B5,A5,B5,B5,B5,B5,A4,A2,A3,A1,B1,A2,A2,C1,C2,D1,E1,F1,G1,H1,I1,H1,I2,I3,I4,I5,I6,I7,I8,I9,I7,I6,I5,H5,I4,H5,I5,I4,I3,H3,I4,H3,I2,I1,H1,I2,G1,F1,E1,D1,C1,A2,B1,A1,A1,B1,B3,A3,A4,A5,A6,A7,A8,A9,B9,A8,A9,C9,C8,C7,C5,C6,C3,C4,C2,C1,D1,E1,F1,G1,F1,E1,E2,E1,F1,G1,H1,I1,I2,H1,G1,G2,G3,F3,E3,D3,C3,B3,C3,B3,A3,C3,D3,E3,F3,G3,H3,G4,G5,H5,H5,G6,G7,G8,G7,G8,E7,D7,C7,B7,A7,A8,A9,A7,A6,A5,A4,A2,A3,A1,B1,C1,D1,E1,F1,G1,H1,I1,I2,I3,I4,I6,I7,I8,I9,I8,H9,G9,F9,E9,D9,C9,B9,A9,A8,A7,A6,A7,B7,D7,E6,E7,E6,F7,E6,E7,D7,C7,C6,C5,C4,C3,C2,C1,D1,E1,F1,E1,E2,E2,F1,H1,G1,I1,I1,I2,I3,I4,I5,I6,I7,I8,I9,I8,H9,G9,F9,E9,D9,C9,B9,A9,A8,A7,A6,
S1,3,D5,F5,H5,I5,I6,H7,I7,I8,I7,I6,I5,H5,I5,I5,I5,I4,I3,I2,I1,H1,G1,F1,E1,D1,C1,B1,A1,A2,A4,A3,A5,A6,A7,A8,A9,B9,A9,A8,A5,A6,A4,A3,A2,A1,B1,D1,C1,E1,E1,F1,G1,G1,H1,G1,F1,E1,E2,E1,F1,G1,H1,I1,I2,I3,H3,I4,I5,I4,I3,H3,G3,E3,D3,C3,C3,B3,A3,A4,A5,A4,A3,A2,A1,B1,A1,D1,E1,F1,G1,H1,H1,I1,H1,I2,I3,I4,I5,I6,I7,I8,I8,I9,H9,G9,G8,F9,F9,G8,F9,E9,E8,D9,C9,C8,C8,C7,D7,E6,E5,E4,E3,E2,E1,E1,D1,C1,E1,F1,G1,H1,I1,I2,I3,I4,I5,I6,I7,I8,I9,H9,F9,G9,E9,D9,C8,C9,B9,A9,A9,A8,A7,A6,
S1,4,D5,F5,G5,H5,I5,H5,I6,I7,H7,I8,I7,I6,I5,H5,H5,H5,H5,G5,F5,E5,D5,E6,E7,F7,G7,E7,D7,C7,C6,C5,C4,D3,C3,C3,B3,A3,A4,A3,A4,A6,A7,A8,A9,B9,C9,C8,D9,E9,E8,F9,G9,G9,G9,H9,I9,I8,I7,I6,I5,H5,G4,G3,F3,E2,E1,F1,G2,G1,H1,G1,F1,E1,D1,C1,B1,A1,A2,B3,A3,A3,C4,D5,E6,E5,E6,E7,E8,E9,D9,B9,C9,C8,E9,D9,F9,G9,H9,I9,I8,I7,I6,I5,I4,I3,I2,I1,H1,G1,F1,E1,D1,C1,B1,A1,A2,A3,A4,A5,A6,
S1,5,D5,C5,B5,A5,A6,A7,A8,A6,A4,A3,A2,A1,A2,C1,D1,E1,F1,G1,H1,I1,I2,I3,I4,I5,I6,I7,I8,I7,I7,I6,I5,H5,F5,E5,D5,B5,A5,A6,B5,A4,B3,A3,A2,A3,A1,B1,D1,E1,F1,G1,H1,I1,I2,I4,I3,I5,I6,I7,I8,I9,H9,G9,G8,F9,E9,E8,D9,C8,C9,B9,C9,C8,C7,C8,C6,C5,C4,C3,C2,C1,D1,E1,G1,F1,E1,E2,E1,F1,G1,H1,I1,G1,G2,F1,F1,E1,D1,E1,E2,E3,E4,E5,E6,E5,E5,E7,E6,E5,E4,E3,F3,D3,C3,B3,C4,C5,D5,E6,E5,E7,E8,E9,E9,D9,C8,C9,B9,A9,A8,A7,B7,A6,A5,A4,A3,B3,A2,A1,B1,C1,D1,E1,F1,G1,H1,I1,H1,I2,I3,I4,I5,I6,I7,I8,I9,I8,I8,H9,G9,G8,F9,E9,E9,E8,D9,C8,C9,B9,A9,A9,A8,B9,A7,A6,
S1,6,D5,E5,F5,G5,H5,I5,I6,H7,I7,I8,I7,I7,I6,H5,I5,I5,H5,G5,F5,E5,D5,C5,B5,B5,A5,A6,A7,A8,A9,A9,B9,A9,A8,A9,B9,B7,A7,A6,A7,A5,B5,A4,A3,B3,A2,A1,B1,A2,B1,C2,C1,D1,E1,E2,F1,G1,G2,H1,I2,I2,I1,I4,I5,H5,I5,I7,I6,H7,I8,I9,H9,H9,G8,G9,F9,E9,E8,F9,E8,E6,E5,E4,E3,E2,E1,E1,F1,G2,G1,H1,H1,G1,F1,E1,D1,C1,C2,B3,B3,C4,D5,E6,E5,F5,E4,F3,E3,E2,E1,E2,C1,B1,A1,A2,A3,A4,A5,A6,
S1,7,D5,E5,G5,F5,H5,I5,I6,I7,I8,I7,I6,I5,H5,H5,I5,I6,H5,I5,H5,I6,I7,I8,I9,I8,H9,G9,G8,F9,D9,E9,C9,B9,C8,C9,B9,A9,A8,A7,A6,A5,A4,A3,A2,A1,B1,C1,D1,E1,F1,G2,G1,H1,I1,I2,H1,I3,I4,H5,I5,I6,I7,H7,I8,I9,H9,G9,G8,F9,E9,D9,E8,D9,C8,C9,C7,C6,C5,C4,C3,C2,B3,C3,C3,B3,C2,C1,C2,D1,E1,F1,G1,G2,G2,H1,G1,F1,E1,E2,F1,G2,G1,H1,G1,I2,I1,G1,F1,E1,E1,E2,E3,E5,E6,E5,E7,D7,E6,E5,E4,E3,E3,D3,C3,B3,C3,B3,B3,D5,E5,E6,E6,E8,E7,E9,E8,E8,D9,C9,B9,A9,A8,B9,A7,A6,
S1,8,D5,E5,E5,E5,E6,E7,E8,E9,D9,E9,F9,G9,H9,I9,I8,I7,I6,I5,H5,G5,E5,D5,E5,C5,B5,A5,A6,A5,A4,A3,A4,A5,A6,A7,A8,A9,B9,A8,C9,D9,E9,E8,F9,G9,H9,G8,H9,I9,I8,I7,I6,I5,I4,I3,H3,G3,F3,E2,E1,G2,F1,G1,H1,I2,I1,I1,G1,F1,G1,G2,G2,G2,G4,G5,G6,G7,F7,E7,D7,C7,C6,C5,C4,C5,C3,C2,E3,D3,F3,G3,F3,E3,D3,C3,B3,C4,C5,D5,E5,E6,E7,E8,E9,E8,C8,C9,A9,A8,B9,A7,A6,
S1,9,D5,E5,F5,G5,H5,I5,I4,H5,I6,H7,I7,I8,I7,I6,I5,I4,H5,I5,I5,H5,G4,E4,E5,D5,E5,C5,A5,B5,A4,A3,A2,A1,A4,A3,A5,A7,A8,A9,B9,C9,C8,B9,D9,E9,E8,F9,G9,G8,H9,I9,I8,I7,I6,I5,H5,G4,F3,E2,E1,F1,G2,G1,G2,H1,G1,F1,D1,E1,F1,G1,H1,I1,I2,I3,I5,I4,I5,I6,I7,I8,I9,I9,H9,H9,I8,G8,G9,G8,F9,E9,E8,E9,E8,D9,C8,C9,B9,C8,C8,C7,D7,E7,E6,E7,E6,E5,E4,E5,E4,E5,D5,C5,C4,C3,C3,D3,C3,B3,B3,C4,C5,D5,E6,E7,D7,C7,B7,A7,A8,A7,B7,A6,A6,
S1,10,D5,E5,F5,G5,H5,I5,I6,I7,I8,I6,I5,I4,H5,F5,D5,E5,C5,B5,A5,A6,A7,A8,A9,B9,C9,C8,D9,E9,F9,G9,G8,H9,I9,I8,I7,I6,I5,H5,G4,F3,E2,E1,F1,G2,G1,H1,G1,F1,E1,D1,E1,C2,C3,B3,C4,D5,E5,E6,E5,E3,E4,E2,E1,D1,C1,B1,A1,A3,A2,A4,A5,A6,
